year,Pipeline,Region From,Region To,State From,County From,State To,County To,Capacity (mmcfd),Notes
2018.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Connecticut,Fairfield,New York,Putnam,275.0,
2018.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Connecticut,Windham,Rhode Island,Providence,1235.0,Atlantic Bridge Phase II FERC Docket CP16-9
2018.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Massachusetts,Worcester,Rhode Island,Providence,275.0,
2018.0,Algonquin Gas Trans Co,Northeast,Intra-regional,New Jersey,Bergen,New York,Rockland,1625.0,Atlantic Bridge Phase II FERC Docket CP16-9
2018.0,Algonquin Gas Trans Co,Northeast,Intra-regional,New York,Putnam,Connecticut,Fairfield,1830.0,Atlantic Bridge Phase II FERC Docket CP16-9
2018.0,Algonquin Gas Trans Co,Northeast,Intra-regional,New York,Rockland,New Jersey,Bergen,275.0,
2018.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Rhode Island,Providence,Connecticut,Windham,275.0,
2018.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Rhode Island,Providence,Massachusetts,Worcester,1180.0,Atlantic Bridge Phase II FERC Docket CP16-9
2018.0,Alliance Pipeline Co,Midwest,Intra-regional,Iowa,Scott,Illinois,Rock Island,1875.0,
2018.0,Alliance Pipeline Co,Midwest,Intra-regional,Minnesota,Mower,Iowa,Mitchell,1875.0,
2018.0,Alliance Pipeline Co,Mountain,Midwest,North Dakota,Roberts,Minnesota,Traverse,1875.0,
2018.0,Alliance Pipeline Co,Canada,Mountain,Saskatchewan,Saskatchewan,North Dakota,Renville,1875.0,
2018.0,"American Midstream (AlaTenn), LLC",South Central,Intra-regional,Mississippi,Tishomingo,Alabama,Colbert,35.0,
2018.0,"American Midstream (AlaTenn), LLC",South Central,Midwest,Mississippi,Alcorn,Tennessee,Mcnairy,91.0,
2018.0,American Midstream (Midla),South Central,Intra-regional,Louisiana,Concordia,Mississippi,Adams,70.0,
2018.0,American Midstream (Midla),South Central,Intra-regional,Mississippi,Wilkinson,Louisiana,West Feliciana,70.0,
2018.0,Anaconda Gathering System,Gulf of Mexico,Intra-regional,Gulf of Mexico - Deepwater,Green Canyon 608,Gulf of Mexico,Ship Shoal 207,550.0,
2018.0,ANR Pipeline Co,South Central,Intra-regional,Arkansas,Chicot,Louisiana,West Carroll,1150.0,Updated from Genscape/informational postings
2018.0,ANR Pipeline Co,South Central,Intra-regional,Arkansas,Chicot,Mississippi,Washington,1430.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Illinois,Cook,Indiana,Lake,1384.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Illinois,Mc Herny,Wisconsin,Walworth,1841.0,Wisconsin South Expansion Project FERC CP17-9
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Indiana,Lake,Illinois,Cook,1384.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Indiana,Spencer,Kentucky,Daviees,750.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Indiana,Elkhart,Michigan,Cass,1520.0,
2018.0,ANR Pipeline Co,Midwest,Northeast,Indiana,Steuben,Ohio,Williams,1748.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Iowa,Louisa,Illinois,Mercer,653.0,
2018.0,ANR Pipeline Co,South Central,Mountain,Kansas,Brown,Nebraska,Richardson,693.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Kentucky,Daviees,Indiana,Spencer,1386.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Kentucky,Calloway,Tennessee,Henry,750.0,
2018.0,ANR Pipeline Co,South Central,Intra-regional,Louisiana,West Carroll,Arkansas,Chicot,1430.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Michigan,Cass,Indiana,Elkhart,1567.0,
2018.0,ANR Pipeline Co,Midwest,Northeast,Michigan,Lawnee,Ohio,Fulton,100.0,
2018.0,ANR Pipeline Co,Midwest,Canada,Michigan,St. Clair,Ontario,Ontario,150.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Michigan,Iron,Wisconsin,Florence,860.0,
2018.0,ANR Pipeline Co,South Central,Intra-regional,Mississippi,Washington,Arkansas,Chicot,1150.0,Updated from Genscape/informational postings
2018.0,ANR Pipeline Co,South Central,Midwest,Mississippi,Marshall,Tennessee,Fayette,1753.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Missouri,Harrison,Iowa,Decatur,680.0,
2018.0,ANR Pipeline Co,Mountain,Midwest,Nebraska,Richardson,Missouri,Holt,693.0,
2018.0,ANR Pipeline Co,Northeast,Midwest,Ohio,Williams,Indiana,Steuben,452.0,
2018.0,ANR Pipeline Co,Northeast,Midwest,Ohio,Fulton,Michigan,Lawnee,932.0,
2018.0,ANR Pipeline Co,South Central,Intra-regional,Oklahoma,Beaver,Kansas,Meade,853.0,
2018.0,ANR Pipeline Co,South Central,Intra-regional,Oklahoma,Beckham,Texas,Wheeler,180.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Tennessee,Henry,Kentucky,Calloway,1398.0,
2018.0,ANR Pipeline Co,Midwest,South Central,Tennessee,Fayette,Mississippi,Marshall,1375.0,Updated from Genscape/informational postings
2018.0,ANR Pipeline Co,South Central,Intra-regional,Texas,Wheeler,Oklahoma,Roger Mills,580.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Wisconsin,Walworth,Illinois,Mc Herny,700.0,
2018.0,ANR Pipeline Co,Midwest,Intra-regional,Wisconsin,Marinette,Michigan,Menominee,148.0,
2018.0,Arkansas Oklahoma Gas Corp,South Central,Intra-regional,Arkansas,Le Flore,Oklahoma,Sebastian,20.0,
2018.0,Arkansas Oklahoma Gas Corp,South Central,Intra-regional,Oklahoma,Sequoyah,Arkansas,Sebastian,18.0,
2018.0,Bison Pipeline LLC,Mountain,Intra-regional,Montana,Fallon,North Dakota,Bowman,477.0,
2018.0,Bison Pipeline LLC,Mountain,Intra-regional,Wyoming,Campbell,Montana,Powder River,477.0,
2018.0,Black Marlin Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Texas,Galveston,163.0,
2018.0,Blue Dolphin Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Galveston Area 350,Texas,Brazoria,235.0,
2018.0,Bluefield Gas Co,Northeast,Intra-regional,West Virginia,Mercer,Virginia,Tazwell,12.0,
2018.0,Bluewater Pipeline Co,Midwest,Canada,Michigan,St. Clair,Ontario,Sarnia,500.0,
2018.0,Bluewater Pipeline Co,Canada,Midwest,Ontario,Sarnia,Michigan,St. Clair,250.0,
2018.0,B-R Pipeline Co,Midwest,South Central,Tennessee,Marion,Alabama,Jackson,21.0,
2018.0,Canyon Chief,Gulf of Mexico,Intra-regional,Gulf of Mexico - Deepwater,Gulf Of Mexico,Gulf of Mexico,Main Pass 261A,500.0,
2018.0,Centra Minnesota Pipeline Inc,Canada,Midwest,Manitoba,Manitoba,Minnesota,Roseau,63.0,
2018.0,Centra Minnesota Pipeline Inc,Midwest,Canada,Minnesota,Lake Of The Woods,Ontario,Ontario,63.0,
2018.0,Centra Minnesota Pipeline Inc,Canada,Midwest,Ontario,Ontario,Minnesota,Koochiching,25.0,
2018.0,Central New York Oil and Gas Company,Northeast,Intra-regional,New York,Tioga,Pennsylvania,Bradford,812.0,
2018.0,Central New York Oil and Gas Company,Northeast,Intra-regional,Pennsylvania,Bradford,New York,Tioga,812.0,
2018.0,Chandeleur Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Mobile,Alabama,Gulf Of Mexico,75.0,
2018.0,Chandeleur Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Mississippi,Jackson,322.0,
2018.0,Cheyenne Plains Pipeline,Mountain,South Central,Colorado,Kit Carson,Kansas,Sherman,820.0,
2018.0,Chinook Pipeline Co,Mountain,Canada,Montana,Blaine,Saskatchewan,Saskatchewan,15.0,
2018.0,Colorado Interstate Gas,Mountain,South Central,Colorado,Baca,Kansas,Morton,463.0,
2018.0,Colorado Interstate Gas,Mountain,South Central,Colorado,Baca,Oklahoma,Cimarron,514.0,
2018.0,Colorado Interstate Gas,Mountain,Intra-regional,Colorado,Moffat,Wyoming,Sweetwater,180.0,
2018.0,Colorado Interstate Gas,South Central,Mountain,Kansas,Morton,Colorado,Baca,340.0,
2018.0,Colorado Interstate Gas,South Central,Intra-regional,Kansas,Baca,Oklahoma,Cimarron,323.0,
2018.0,Colorado Interstate Gas,South Central,Mountain,Oklahoma,Cimarron,Colorado,Baca,200.0,
2018.0,Colorado Interstate Gas,South Central,Intra-regional,Oklahoma,Cimarron,Texas,Sherman,284.0,
2018.0,Colorado Interstate Gas,South Central,Intra-regional,Texas,Sherman,Oklahoma,Cimarron,200.0,
2018.0,Colorado Interstate Gas,Mountain,Intra-regional,Utah,Uintah,Colorado,Rio Blanco,165.0,
2018.0,Colorado Interstate Gas,Mountain,Intra-regional,Wyoming,Laramie,Colorado,Weld,625.0,
2018.0,Colorado Interstate Gas,Mountain,Intra-regional,Wyoming,Park,Montana,Carbon,60.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Delaware,New Castle,New Jersey,Gloucester,141.0,
2018.0,Columbia Gas Trans Corp,Midwest,Northeast,Kentucky,Mason,Ohio,Adams,57.0,
2018.0,Columbia Gas Trans Corp,Midwest,Northeast,Kentucky,Boyd,West Virginia,Wayne,2162.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Maryland,Cecil,Pennsylvania,Lancaster,206.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Maryland,Allegany,West Virginia,Mineral,5.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Ohio,Columbiana,Pennsylvania,Beaver,7.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Ohio,Gallia,West Virginia,Mason,15.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Ohio,Lawrence,West Virginia,Wayne,1500.0,Leach Xpress FERC docket CP15-514
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Delaware,Delaware,New Castle,174.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Fulton,Maryland,Washington,57.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Northampton,New Jersey,Warren,423.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Pike,New York,Orange,281.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Fayette,West Virginia,Monongalia,1285.0,Updated 4/12/18 KDL
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Washington,West Virginia,Brooke,1095.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Greene,West Virginia,Marshall,1500.0,Leach Xpress FERC docket CP15-514
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Virginia,Fairfax,Maryland,Montgomery,1680.0,WB Xpress East FERC docket CP16-38
2018.0,Columbia Gas Trans Corp,Northeast,Southeast,Virginia,Greenville,North Carolina,Northampton,37.0,
2018.0,Columbia Gas Trans Corp,Northeast,Midwest,West Virginia,Mingo,Kentucky,Martin,76.0,
2018.0,Columbia Gas Trans Corp,Northeast,Midwest,West Virginia,Wayne,Kentucky,Boyd,1723.0,Leach Xpress FERC docket CP15-514
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,West Virginia,Mineral,Maryland,Garret,4.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,West Virginia,Mason,Ohio,Gallia,896.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,West Virginia,Marshall,Ohio,Monroe,2230.0,Leach Xpress FERC docket CP15-514 (Capacity addition from Genscape RT)
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,West Virginia,Monongalia,Pennsylvania,Fayette,1275.0,
2018.0,Columbia Gas Trans Corp,Northeast,Intra-regional,West Virginia,Hardy,Virginia,Shenandoah,2644.0,WB Xpress East FERC docket CP16-38
2018.0,Columbia Gulf Trans Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Louisiana,Vermillion,0.0,
2018.0,Columbia Gulf Trans Co,Midwest,Intra-regional,Kentucky,Macon,Tennessee,Monroe,1856.0,Rayne Xpress
2018.0,Columbia Gulf Trans Co,South Central,Intra-regional,Louisiana,Richland,Mississippi,Warren,2576.0,
2018.0,Columbia Gulf Trans Co,South Central,Intra-regional,Mississippi,Warren,Louisiana,Richland,2185.0,Rayne Xpress
2018.0,Columbia Gulf Trans Co,South Central,Midwest,Mississippi,Tishomingo,Tennessee,Hardin,2268.0,
2018.0,Columbia Gulf Trans Co,Midwest,Intra-regional,Tennessee,Monroe,Kentucky,Macon,2317.0,
2018.0,Columbia Gulf Trans Co,Midwest,South Central,Tennessee,Monroe,Mississippi,Corinth,1852.0,Rayne Xpress
2018.0,Comanche Trail Pipeline,South Central,Mexico,Texas,El Paso,Mexico,Mexico,1100.0,New pipeline; FERC CP15-503
2018.0,Connector Pipeline Co,Canada,Mountain,Alberta,Alberta,Montana,Glacier,20.0,
2018.0,Crossroads Pipeline Co,Midwest,Northeast,Indiana,De Kalb,Ohio,Defiance,250.0,
2018.0,Dauphin Island Gathering System,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Alabama,Mobile,1100.0,
2018.0,Delfin LNG (UTOS Pipeline),Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Louisiana,Cameron,1040.0,
2018.0,Delta Natural Gas Co,Midwest,Intra-regional,Kentucky,Whitley,Tennessee,Campbell,5.0,
2018.0,Destin Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Viosca Knoll 900,Mississippi,Jackson,1000.0,
2018.0,Discovery PL Co,Gulf of Mexico,South Central,Gulf of Mexico,Ewing Bank 873,Louisiana,Lafourche,750.0,
2018.0,Dominion Carolina Gas Transmission,Southeast,Intra-regional,Georgia,Effingham,South Carolina,Jasper,190.0,
2018.0,Dominion Carolina Gas Transmission,Southeast,Intra-regional,South Carolina,Jasper,Georgia,Chatham,190.0,
2018.0,Dominion Cove Point LNG LP,Northeast,Intra-regional,Maryland,Charles,Virginia,Fairfax,1385.0,
2018.0,Dominion Cove Point LNG LP,Northeast,Intra-regional,Virginia,Fairfax,Maryland,Charles,1257.0,Dominion Cove Point Keyes Energy Center (FERC CP15-24)
2018.0,Dominion Transmission Co,Northeast,Intra-regional,Maryland,Washington,Pennsylvania,Franklin,700.0,
2018.0,Dominion Transmission Co,Northeast,Intra-regional,Maryland,Frederick,Virginia,Loudoun,622.0,Leidy South Project (FERC CP15-492)
2018.0,Dominion Transmission Co,Northeast,Intra-regional,New York,Allegany,Pennsylvania,Potter,150.0,
2018.0,Dominion Transmission Co,Northeast,Intra-regional,Ohio,Columbiana,Pennsylvania,Beaver,560.0,
2018.0,Dominion Transmission Co,Northeast,Intra-regional,Pennsylvania,Franklin,Maryland,Washington,924.0,Leidy South Project (FERC CP15-492)
2018.0,Dominion Transmission Co,Northeast,Intra-regional,Pennsylvania,Potter,New York,Allegany,125.0,
2018.0,Dominion Transmission Co,Northeast,Intra-regional,Pennsylvania,Tioga,New York,Steuben,988.0,New Market Expansion (FERC 14-497)
2018.0,Dominion Transmission Co,Northeast,Intra-regional,Pennsylvania,Crawford,Ohio,Ashtabula,595.0,Dominion Lebanon West II FERC Docket CP14-555
2018.0,Dominion Transmission Co,Northeast,Intra-regional,Pennsylvania,Buchanan,West Virginia,Mcdowell,245.0,
2018.0,Dominion Transmission Co,Northeast,Intra-regional,Virginia,Loudoun,Maryland,Montgomery,700.0,
2018.0,Dominion Transmission Co,Northeast,Intra-regional,West Virginia,Wetzel,Ohio,Monroe,959.0,Dominion Clarington Project FERC Docket CP14-496
2018.0,Dominion Transmission Co,Northeast,Intra-regional,West Virginia,Marshall,Pennsylvania,Greene,185.0,
2018.0,Dominion Transmission Co,Northeast,Intra-regional,West Virginia,Monongalia,Pennsylvania,Greene,1284.0,
2018.0,East Breaks Gathering,Gulf of Mexico,Intra-regional,Gulf of Mexico - Deepwater,Alimos Canyon AC25,Gulf of Mexico,HI A573,400.0,
2018.0,East Tennessee Nat Gas Co,Midwest,Southeast,Tennessee,Hamilton,Georgia,Catoosa,222.0,
2018.0,East Tennessee Nat Gas Co,Midwest,Northeast,Tennessee,Washington,Virginia,Sullivan,70.0,
2018.0,East Tennessee Nat Gas Co,Northeast,Southeast,Virginia,Henry,North Carolina,Rockingham,570.0,
2018.0,East Tennessee Nat Gas Co,Northeast,Midwest,Virginia,Sullivan,Tennessee,Washington,220.0,
2018.0,Eastern Shore Nat Gas Co,Northeast,Intra-regional,Delaware,Sussex,Maryland,Dorchester,22.0,
2018.0,Eastern Shore Nat Gas Co,Northeast,Intra-regional,Maryland,Cecil,Delaware,New Castle,145.0,ES White Oak Mainline Expansion FERC Docket CP15-18
2018.0,Eastern Shore Nat Gas Co,Northeast,Intra-regional,Pennsylvania,Chester,Delaware,New Castle,80.0,
2018.0,Eastern Shore Nat Gas Co,Northeast,Intra-regional,Pennsylvania,Chester,Maryland,Cecil,145.0,ES White Oak Mainline Expansion FERC Docket CP15-18
