States,State Names2,Regions
AB,Alberta,Canada
BC,British Columbia,Canada
MB,Manitoba,Canada
NB,New Brunswick,Canada
ON,Ontario,Canada
QU,Quebec,Canada
SK,Saskatchewan,Canada
AZ,Arizona,Mountain
CO,Colorado,Mountain
ID,Idaho,Mountain
MT,Montana,Mountain
NE,Nebraska,Mountain
NV,Nevada,Mountain
NM,New Mexico,Mountain
ND,North Dakota,Mountain
SD,South Dakota,Mountain
UT,Utah,Mountain
WY,Wyoming,Mountain
GM,Gulf of Mexico,Gulf of Mexico
GM,Gulf of Mexico - Deepwater,Gulf of Mexico
MX,Mexico,Mexico
IL,Illinois,Midwest
IN,Indiana,Midwest
IA,Iowa,Midwest
KY,Kentucky,Midwest
MI,Michigan,Midwest
MN,Minnesota,Midwest
MO,Missouri,Midwest
TN,Tennessee,Midwest
WI,Wisconsin,Midwest
CT,Connecticut,Northeast
DE,Delaware,Northeast
DC,District of Columbia,Northeast
ME,Maine,Northeast
MD,Maryland,Northeast
MA,Massachusetts,Northeast
NH,New Hampshire,Northeast
NJ,New Jersey,Northeast
NY,New York,Northeast
OH,Ohio,Northeast
PA,Pennsylvania,Northeast
RI,Rhode Island,Northeast
VT,Vermont,Northeast
VA,Virginia,Northeast
WV,West Virginia,Northeast
FL,Florida,Southeast
GA,Georgia,Southeast
NC,North Carolina,Southeast
SC,South Carolina,Southeast
AL,Alabama,South Central
AR,Arkansas,South Central
KS,Kansas,South Central
LA,Louisiana,South Central
MS,Mississippi,South Central
OK,Oklahoma,South Central
TX,Texas,South Central
CA,California,Pacific
OR,Oregon,Pacific
WA,Washington,Pacific
