,State Name,State Code,Subdivision Code,County Name,County Code
0,ALASKA,AK,S,ADAK QUAD,1
1,ALASKA,AK,S,AFOGNAK QUAD,3
2,ALASKA,AK,S,AMBLER RIVER QUAD,5
3,ALASKA,AK,S,AMUKTA QUAD,7
4,ALASKA,AK,S,ANCHORAGE QUAD,9
5,ALASKA,AK,S,ARCTIC QUAD,11
6,ALASKA,AK,S,ATKA QUAD,13
7,ALASKA,AK,S,ATLIN QUAD,15
8,ALASKA,AK,S,ATTU QUAD,17
9,ALASKA,AK,S,BAIRD INLET QUAD,19
10,ALASKA,AK,S,BAIRD MOUNTAINS QUAD,21
11,ALASKA,AK,N,BARROW QUAD,23
12,ALASKA,AK,N,BARTER ISLAND QUAD,25
13,ALASKA,AK,S,BEAVER QUAD,27
14,ALASKA,AK,N,BEECHEY POINT QUAD,29
15,ALASKA,AK,S,BENDELEBEN QUAD,31
16,ALASKA,AK,S,BERING GLACIER QUAD,33
17,ALASKA,AK,S,BETHEL QUAD,35
18,ALASKA,AK,S,BETTLES QUAD,37
19,ALASKA,AK,S,BIG DELTA QUAD,39
20,ALASKA,AK,S,BLACK QUAD,41
21,ALASKA,AK,S,BLACK RIVER QUAD,43
22,ALASKA,AK,S,BLYING SOUND QUAD,45
23,ALASKA,AK,S,BRADFIELD CANAL QUAD,47
24,ALASKA,AK,S,BRISTOL BAY QUAD,49
25,ALASKA,AK,S,CANDLE QUAD,51
26,ALASKA,AK,S,CAPE MENDENHALL QUAD,53
27,ALASKA,AK,S,CHANDALAR QUAD,55
28,ALASKA,AK,N,CHANDLER LAKE QUAD,57
29,ALASKA,AK,S,CHARLEY RIVER QUAD,59
30,ALASKA,AK,S,CHIGNIK QUAD,61
31,ALASKA,AK,S,CHRISTIAN QUAD,63
32,ALASKA,AK,S,CIRCLE QUAD,65
33,ALASKA,AK,S,COLEEN QUAD,67
34,ALASKA,AK,S,CORDOVA QUAD,69
35,ALASKA,AK,S,CRAIG QUAD,71
36,ALASKA,AK,N,DE LONG MTS,73
37,ALASKA,AK,N,DEMARCATION POINT QUAD,75
38,ALASKA,AK,S,DILLINGHAM QUAD,77
39,ALASKA,AK,S,DIXON ENTRANCE QUAD,79
40,ALASKA,AK,S,EAGLE QUAD,81
41,ALASKA,AK,S,FAIRBANKS QUAD,83
42,ALASKA,AK,S,FAIRWEATHER QUAD,85
43,ALASKA,AK,S,FALSE PASS QUAD,87
44,ALASKA,AK,N,FLAXMAN ISLAND QUAD,89
45,ALASKA,AK,S,FORT YUKON QUAD,91
46,ALASKA,AK,S,COLD BAY QUAD,93
47,ALASKA,AK,S,GARELOI ISLAND QUAD,95
48,ALASKA,AK,S,GOODNEWS BAY QUAD,97
49,ALASKA,AK,S,GULKANA QUAD,99
50,ALASKA,AK,S,HAGEMEISTER ISLAND QUAD,101
51,ALASKA,AK,N,HARRISON BAY QUAD,103
52,ALASKA,AK,S,HEALY QUAD,105
53,ALASKA,AK,S,HOLY CROSS QUAD,107
54,ALASKA,AK,S,HOOPER BAY QUAD,109
55,ALASKA,AK,N,HOWARD PASS QUAD,111
56,ALASKA,AK,S,HUGHES QUAD,113
57,ALASKA,AK,S,ICY BAY QUAD,115
58,ALASKA,AK,S,IDITAROD QUAD,117
59,ALASKA,AK,N,IKPIKPUK RIVER QUAD,119
60,ALASKA,AK,S,ILIAMNA QUAD,121
61,ALASKA,AK,S,JUNEAU QUAD,123
62,ALASKA,AK,S,KAGUYAK QUAD,125
63,ALASKA,AK,S,KANTISHNA RIVER QUAD,127
64,ALASKA,AK,S,KARLUK QUAD,129
65,ALASKA,AK,S,KATEEL RIVER QUAD,131
66,ALASKA,AK,S,KENAI QUAD,133
67,ALASKA,AK,S,KETCHIKAN QUAD,135
68,ALASKA,AK,N,KILLIK RIVER QUAD,137
69,ALASKA,AK,S,KISKA QUAD,139
70,ALASKA,AK,S,KODIAK QUAD,141
71,ALASKA,AK,S,KOTZEBUE QUAD,143
72,ALASKA,AK,S,KUSKOKWIM BAY QUAD,145
73,ALASKA,AK,S,KWIGUK QUAD,147
74,ALASKA,AK,S,LAKE CLARK QUAD,149
75,ALASKA,AK,S,LIME HILLS QUAD,151
