,Region,Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig.1,Legacy production change.1,Total production.1
0,Appalachia,2007-01-01,56.0,7.64304345,-567.55468,27000.0,411.949477,-15793.161,1298430.8
1,Appalachia,2007-02-01,56.0,8.28737597,-591.27731,27000.0,417.957206,-15490.767,1310307.03
2,Appalachia,2007-03-01,53.0,8.8304331,-608.81279,29000.0,423.678074,-15274.369,1318131.25
3,Appalachia,2007-04-01,52.0,9.38563929,-622.77663,28000.0,430.387295,-15081.652,1335947.5
4,Appalachia,2007-05-01,54.0,9.8835968,-631.93,28000.0,437.291442,-14919.31,1360732.03
5,Appalachia,2007-06-01,56.0,10.3721866,-638.41378,28000.0,444.886677,-14754.783,1375573.9
6,Appalachia,2007-07-01,52.0,10.8391616,-643.87906,27000.0,452.681462,-14583.892,1383230.64
7,Appalachia,2007-08-01,61.0,11.3358006,-651.59809,27000.0,461.065547,-14381.037,1393175.64
8,Appalachia,2007-09-01,59.0,11.8400097,-663.20819,27000.0,469.594405,-14138.99,1435329.7
9,Appalachia,2007-10-01,58.0,12.3024872,-678.69671,27000.0,477.780948,-13865.771,1442063.87
10,Appalachia,2007-11-01,57.0,12.6244948,-682.07035,27000.0,485.911677,-13583.397,1462529.7
11,Appalachia,2007-12-01,62.0,12.4140883,-648.90688,27000.0,493.203104,-13435.629,1458977.96
12,Appalachia,2008-01-01,56.0,11.6237037,-607.56693,27000.0,500.851099,-13752.969,1449857.22
13,Appalachia,2008-02-01,56.0,11.0274408,-566.88008,28000.0,513.966935,-13970.973,1477103.1
14,Appalachia,2008-03-01,50.0,10.6582171,-539.79739,29000.0,529.407397,-14524.27,1484687.25
15,Appalachia,2008-04-01,51.0,10.5630929,-536.40258,29000.0,547.792503,-15918.456,1498220.66
16,Appalachia,2008-05-01,53.0,10.2443416,-554.32992,28000.0,564.732734,-17932.807,1506895.19
17,Appalachia,2008-06-01,54.0,9.88168173,-602.35479,28000.0,580.95345,-20297.437,1543558.33
18,Appalachia,2008-07-01,54.0,9.16377423,-667.12849,27000.0,597.079133,-22287.83,1565044.64
19,Appalachia,2008-08-01,59.0,8.89346843,-713.5574,28000.0,615.871949,-23867.619,1586134.9
20,Appalachia,2008-09-01,62.0,8.38727809,-738.58684,28000.0,635.889678,-24953.366,1588416.46
21,Appalachia,2008-10-01,62.0,8.02389054,-746.3594,28000.0,654.769614,-25402.588,1645954.9
22,Appalachia,2008-11-01,60.0,7.86817896,-727.75308,27000.0,672.518654,-24699.704,1663429.43
23,Appalachia,2008-12-01,59.0,7.82522592,-708.09487,27000.0,692.057107,-24169.393,1661203.19
24,Appalachia,2009-01-01,51.0,7.83386232,-697.53146,24000.0,730.397349,-24384.334,1528871.77
25,Appalachia,2009-02-01,53.0,7.85250173,-695.09097,24000.0,782.342784,-25499.797,1577333.17
26,Appalachia,2009-03-01,53.0,7.82180017,-695.76309,27000.0,831.169724,-27082.233,1602704.7
27,Appalachia,2009-04-01,56.0,7.68478045,-678.53301,25000.0,875.978569,-28810.995,1634705.96
28,Appalachia,2009-05-01,55.0,7.44707212,-623.31966,24000.0,905.546955,-29701.984,1651799.19
29,Appalachia,2009-06-01,65.0,7.24261204,-536.90683,27000.0,921.740428,-29516.643,1686587.36
30,Appalachia,2009-07-01,71.0,6.85248401,-452.54844,24000.0,930.47108,-28317.803,1667611.8
31,Appalachia,2009-08-01,76.0,6.68353887,-386.83208,25000.0,940.732693,-26373.195,1956819.41
