,Region,Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig.1,Legacy production change.1,Total production.1
0,Bakken,2007-01-01,45.0,111.176895,-2160.2862,132027.677,81.6351006,-1802.8953,187705.064
1,Bakken,2007-02-01,42.0,112.103108,-2425.913,131832.785,81.1789866,-1946.8123,187973.821
2,Bakken,2007-03-01,44.0,112.864733,-2668.2575,133265.096,80.6901934,-2078.5173,186191.774
3,Bakken,2007-04-01,47.0,113.620154,-2939.3129,132782.933,80.0819711,-2226.0392,189048.133
4,Bakken,2007-05-01,46.0,114.277753,-3204.3286,137284.612,79.4984884,-2370.1638,196984.419
5,Bakken,2007-06-01,46.0,114.927193,-3480.7972,136141.333,79.0037423,-2520.2916,198028.833
6,Bakken,2007-07-01,53.0,115.576885,-3750.7335,138121.516,78.6819879,-2666.8018,200004.58
7,Bakken,2007-08-01,55.0,116.329424,-4031.766,139251.451,78.5397704,-2819.5841,200378.258
8,Bakken,2007-09-01,50.0,117.230917,-4314.4343,139957.966,78.5867653,-2973.9408,195780.733
9,Bakken,2007-10-01,52.0,118.209411,-4588.8732,144692.258,78.7135518,-3124.8402,199853.387
10,Bakken,2007-11-01,54.0,119.120911,-4872.551,142750.133,78.5965419,-3282.057,195043.9
11,Bakken,2007-12-01,58.0,123.218584,-5146.3621,146989.58,77.5122187,-3435.152,194988.0
12,Bakken,2008-01-01,55.0,130.48263,-5427.4897,147254.064,79.1316093,-3593.735,194113.387
13,Bakken,2008-02-01,60.0,139.216485,-5705.6691,147019.172,81.7799312,-3751.9034,190586.655
14,Bakken,2008-03-01,63.0,148.415409,-5962.0949,152464.322,84.9845876,-3898.4437,196291.838
15,Bakken,2008-04-01,64.0,159.368464,-6230.7551,159363.166,89.75687,-4051.9306,206199.3
16,Bakken,2008-05-01,70.0,171.411885,-6484.3821,166863.419,95.2393126,-4195.8571,215564.032
17,Bakken,2008-06-01,77.0,184.083338,-6739.7066,176859.133,100.602122,-4339.0338,220659.5
18,Bakken,2008-07-01,75.0,194.390552,-6982.1015,181490.806,104.426562,-4472.6984,217829.612
19,Bakken,2008-08-01,76.0,199.557698,-7234.1945,187602.774,106.583315,-4606.426,223811.967
20,Bakken,2008-09-01,77.0,199.038388,-7473.0359,201722.966,107.373545,-4739.1593,229455.833
21,Bakken,2008-10-01,80.0,194.653067,-7696.0075,217031.516,108.138239,-4866.9121,239141.806
22,Bakken,2008-11-01,90.0,188.514673,-7919.1706,228478.233,109.866691,-4999.553,244550.666
23,Bakken,2008-12-01,87.0,185.497438,-8131.5051,213813.032,114.455324,-5133.774,208360.645
24,Bakken,2009-01-01,73.0,190.149263,-8357.4064,198290.0,122.478341,-5289.8547,214702.129
25,Bakken,2009-02-01,65.0,203.031052,-8596.6107,203889.142,133.148238,-5461.6189,220268.785
26,Bakken,2009-03-01,51.0,219.945732,-8824.3314,208049.58,143.11009,-5628.4306,224074.032
27,Bakken,2009-04-01,42.0,240.609247,-9094.9284,210088.966,153.797426,-5823.4962,235432.733
28,Bakken,2009-05-01,35.0,262.010755,-9377.2304,217886.322,163.175616,-6018.1624,238319.612
29,Bakken,2009-06-01,35.0,283.211834,-9693.4803,225884.833,172.247707,-6224.8903,239377.666
30,Bakken,2009-07-01,40.0,302.30309,-10031.508,237763.935,180.200252,-6440.0722,248806.451
31,Bakken,2009-08-01,44.0,316.75159,-10413.452,241385.838,188.174433,-6683.6637,253218.483
