,Region,Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig.1,Legacy production change.1,Total production.1
0,Eagle Ford,2007-01-01,51.0,44.2848964,-1945.6152,53993.8064,1270.41362,-53051.53,1599376.8
1,Eagle Ford,2007-02-01,56.0,42.9692668,-1940.3471,56284.6785,1243.39963,-54185.231,1651074.92
2,Eagle Ford,2007-03-01,58.0,41.7562247,-1934.8816,54825.6451,1220.34438,-55178.64,1657453.12
3,Eagle Ford,2007-04-01,56.0,40.3892998,-1928.68,56724.9333,1196.59633,-56251.863,1669511.36
4,Eagle Ford,2007-05-01,55.0,39.0650975,-1923.1872,56679.9677,1175.41072,-57272.677,1634131.29
5,Eagle Ford,2007-06-01,60.0,37.6809229,-1918.8131,54166.3666,1155.14769,-58316.92,1654704.13
6,Eagle Ford,2007-07-01,63.0,36.3086321,-1916.5615,53088.4516,1136.9817,-59318.845,1650175.64
7,Eagle Ford,2007-08-01,60.0,34.8357921,-1916.5966,53000.6774,1119.7048,-60347.009,1640133.8
8,Eagle Ford,2007-09-01,60.0,33.3007947,-1919.0538,54341.6999,1102.98986,-61365.91,1648018.03
9,Eagle Ford,2007-10-01,53.0,31.7781471,-1923.615,52460.258,1091.0902,-62339.721,1643928.29
10,Eagle Ford,2007-11-01,56.0,31.173507,-1930.0883,53991.7666,1117.37232,-63329.608,1650237.79
11,Eagle Ford,2007-12-01,58.0,30.6624252,-1936.8619,53311.5806,1152.94986,-64262.135,1642955.32
12,Eagle Ford,2008-01-01,55.0,31.0620282,-1942.4642,53320.258,1189.05517,-65179.832,1645270.32
13,Eagle Ford,2008-02-01,49.0,30.7579075,-1943.3654,53787.3793,1216.63869,-66020.459,1648195.72
14,Eagle Ford,2008-03-01,60.0,30.5363059,-1934.862,55754.7419,1223.56345,-66686.592,1664465.83
15,Eagle Ford,2008-04-01,67.0,30.486485,-1907.8596,54702.6999,1211.1512,-67165.78,1646479.1
16,Eagle Ford,2008-05-01,71.0,31.5863571,-1910.3203,54596.9677,1194.96477,-67718.845,1660210.67
17,Eagle Ford,2008-06-01,64.0,32.8159219,-1928.3288,54904.8999,1174.44142,-68408.708,1688010.16
18,Eagle Ford,2008-07-01,64.0,34.3724384,-1926.1702,53780.1612,1141.56138,-69021.553,1683475.8
19,Eagle Ford,2008-08-01,68.0,34.0383671,-1986.2037,54541.7419,1104.03703,-69863.349,1660112.41
20,Eagle Ford,2008-09-01,67.0,33.5942936,-2020.2959,53849.2999,1083.33998,-70488.311,1570134.06
21,Eagle Ford,2008-10-01,73.0,32.8961117,-2046.9564,57693.7096,1080.75369,-70843.101,1682502.38
22,Eagle Ford,2008-11-01,72.0,32.8471929,-2067.277,58394.9333,1105.16148,-70847.973,1694300.16
23,Eagle Ford,2008-12-01,62.0,32.9688395,-2083.2692,57280.4838,1150.17266,-70512.17,1690362.67
24,Eagle Ford,2009-01-01,46.0,33.1432947,-2088.613,55313.4838,1207.05619,-69779.315,1718323.25
25,Eagle Ford,2009-02-01,39.0,33.1907836,-2080.5544,55003.5714,1268.51667,-68809.394,1704826.03
