,Region,Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig.1,Legacy production change.1,Total production.1
0,Haynesville,2007-01-01,170.0,6.32415135,-1255.5354,60138.0322,932.634566,-120792.39,3566039.74
1,Haynesville,2007-02-01,179.0,6.46964936,-1260.8246,60804.0357,953.98515,-125917.78,3589267.17
2,Haynesville,2007-03-01,179.0,6.60549759,-1265.8809,61462.2903,973.071541,-130529.79,3659389.25
3,Haynesville,2007-04-01,186.0,6.76061149,-1272.054,60370.4333,994.016761,-135617.8,3694805.96
4,Haynesville,2007-05-01,184.0,6.9135001,-1278.9825,59217.6774,1014.23189,-140531.12,3726506.22
5,Haynesville,2007-06-01,179.0,7.07141221,-1287.3394,58243.5666,1035.36498,-145607.12,3764560.86
6,Haynesville,2007-07-01,188.0,7.2215409,-1296.5243,57101.0967,1056.51156,-150527.17,3824082.9
7,Haynesville,2007-08-01,189.0,7.37039867,-1306.7558,57763.9677,1079.22426,-155623.79,3829094.58
8,Haynesville,2007-09-01,182.0,7.51057633,-1317.022,58056.3999,1102.67784,-160738.74,3854410.1
9,Haynesville,2007-10-01,181.0,7.6392246,-1326.1876,59629.2258,1124.54644,-165705.15,3924156.09
10,Haynesville,2007-11-01,184.0,7.78122763,-1333.9314,60980.6,1151.97462,-170847.91,3942799.46
11,Haynesville,2007-12-01,186.0,7.96312144,-1338.8948,60608.5483,1179.66968,-175828.7,3986546.09
12,Haynesville,2008-01-01,175.0,7.92019714,-1340.3898,62980.2258,1210.54173,-180967.27,3984954.09
13,Haynesville,2008-02-01,176.0,7.89780373,-1336.833,62882.3448,1239.62512,-186076.07,4070552.17
14,Haynesville,2008-03-01,178.0,7.79380245,-1327.84,61570.258,1263.97903,-190773.79,4131672.19
15,Haynesville,2008-04-01,179.0,7.69095443,-1312.16,62660.0666,1281.6219,-195580.75,4197570.9
16,Haynesville,2008-05-01,190.0,7.30829588,-1313.0436,60880.5483,1288.35574,-200062.86,4245716.19
17,Haynesville,2008-06-01,199.0,6.9972479,-1331.5952,60772.1666,1281.80975,-204650.16,4237273.66
18,Haynesville,2008-07-01,199.0,6.67326988,-1362.7419,60080.3225,1266.93695,-209074.18,4292903.67
19,Haynesville,2008-08-01,222.0,6.44575935,-1402.3792,58917.9354,1252.31631,-213620.86,4304090.06
20,Haynesville,2008-09-01,240.0,6.16473611,-1443.2452,54749.0999,1244.28684,-218283.81,4153623.63
21,Haynesville,2008-10-01,239.0,5.87478029,-1472.5084,60411.9677,1250.07384,-223048.52,4417709.35
22,Haynesville,2008-11-01,244.0,5.57692514,-1485.1175,60225.9999,1278.52708,-228582.9,4479378.43
23,Haynesville,2008-12-01,230.0,5.30371089,-1480.3591,61003.4193,1329.47952,-234582.51,4533701.67
24,Haynesville,2009-01-01,210.0,5.08127207,-1456.2257,61891.4516,1418.36421,-241474.97,4547722.77
25,Haynesville,2009-02-01,182.0,4.9648544,-1417.016,59694.6428,1554.76875,-248780.96,4423349.57
26,Haynesville,2009-03-01,156.0,4.94648194,-1372.6092,59867.8387,1713.12971,-256067.92,4681222.83
27,Haynesville,2009-04-01,146.0,4.96930839,-1325.3563,58595.9999,1925.58823,-262805.47,4755967.09
28,Haynesville,2009-05-01,136.0,4.96552162,-1284.0074,56778.6451,2150.79232,-273219.44,4830117.87
29,Haynesville,2009-06-01,126.0,4.90357768,-1252.4447,55137.9999,2388.32565,-280864.9,4907877.56
30,Haynesville,2009-07-01,133.0,4.80984119,-1245.4044,53439.3225,2602.17157,-292777.95,4980177.61
31,Haynesville,2009-08-01,148.0,4.73166998,-1245.0559,53936.0645,2796.72315,-302025.69,5179354.77
32,Haynesville,2009-09-01,154.0,4.65730517,-1243.5888,54711.4333,2941.7816,-315510.71,5331428.16
33,Haynesville,2009-10-01,161.0,4.71876769,-1254.0518,52730.9677,3035.94014,-326076.55,5496373.74
34,Haynesville,2009-11-01,175.0,4.66699144,-1236.5027,54107.0666,3097.37017,-339244.37,5717975.46
35,Haynesville,2009-12-01,188.0,4.50075751,-1195.218,54074.6129,3109.17423,-353874.86,5667536.0
36,Haynesville,2010-01-01,211.0,4.33667325,-1146.5587,52436.258,3091.9264,-368180.16,5810523.64
37,Haynesville,2010-02-01,230.0,4.08728333,-1089.2817,53556.3571,3067.0478,-382857.76,6095718.82
38,Haynesville,2010-03-01,234.0,3.83194406,-1037.0417,55343.8064,3037.63605,-396422.09,6511741.25
39,Haynesville,2010-04-01,237.0,3.56909613,-983.53,53510.5333,3007.74843,-411634.94,6602470.36
40,Haynesville,2010-05-01,231.0,3.39690484,-942.0731,52793.9354,2988.78926,-426676.87,6804492.54
41,Haynesville,2010-06-01,231.0,3.25427169,-905.28501,51083.6666,3000.79691,-442497.4,7168243.53
42,Haynesville,2010-07-01,234.0,3.23111853,-902.14642,49988.8387,3044.36654,-457185.98,7399097.03
43,Haynesville,2010-08-01,228.0,3.10651008,-898.05144,50235.5161,3111.15166,-472647.4,7621714.45
44,Haynesville,2010-09-01,220.0,3.04998815,-903.38736,49832.8333,3209.16941,-488133.34,7815504.83
45,Haynesville,2010-10-01,217.0,2.94922517,-907.64216,50035.7741,3345.81958,-502606.83,7869837.96
