,Region,Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig.1,Legacy production change.1,Total production.1
0,Niobrara,2007-01-01,107.0,35.2811962,-528.6723,112966.548,1211.54001,-85400.074,3439026.12
1,Niobrara,2007-02-01,104.0,35.0490664,-877.44212,116343.75,1224.45853,-86938.625,3514315.32
2,Niobrara,2007-03-01,109.0,34.8309082,-1171.0259,123216.774,1236.02226,-88322.051,3546589.25
3,Niobrara,2007-04-01,113.0,34.5826752,-1472.4907,128074.399,1248.76926,-89846.855,3540485.46
4,Niobrara,2007-05-01,108.0,34.3446001,-1744.1427,127122.709,1261.22227,-91315.893,3667278.29
5,Niobrara,2007-06-01,108.0,34.107168,-2010.6265,125844.599,1274.48548,-92826.926,3650764.13
6,Niobrara,2007-07-01,109.0,33.8915371,-2260.1883,124841.193,1287.91693,-94282.741,3658548.25
7,Niobrara,2007-08-01,115.0,33.6928632,-2512.7937,127388.806,1302.54896,-95778.731,3759029.03
8,Niobrara,2007-09-01,119.0,33.5302824,-2760.5828,125871.433,1317.97235,-97262.823,3719541.2
9,Niobrara,2007-10-01,117.0,33.4078109,-2991.9906,130152.161,1333.55885,-98684.309,3726255.12
10,Niobrara,2007-11-01,118.0,33.2906464,-3184.1244,130444.333,1350.09899,-100132.35,3903539.26
11,Niobrara,2007-12-01,111.0,33.1365059,-3236.2595,123381.935,1366.08134,-101507.0,4005965.54
12,Niobrara,2008-01-01,101.0,33.5052474,-3236.3104,122873.709,1381.70891,-102894.94,4001353.83
13,Niobrara,2008-02-01,114.0,34.0397781,-3223.58,127967.551,1394.76426,-104246.03,4050722.62
14,Niobrara,2008-03-01,117.0,34.6922351,-3248.722,131757.87,1403.29986,-105472.49,4195513.06
15,Niobrara,2008-04-01,120.0,35.7205533,-3340.0318,133610.533,1419.40439,-106739.38,4322944.13
16,Niobrara,2008-05-01,120.0,36.9742991,-3465.222,132171.354,1435.96414,-107920.15,4398734.83
17,Niobrara,2008-06-01,112.0,38.3340053,-3607.9365,133528.433,1455.25478,-109094.41,4476572.53
18,Niobrara,2008-07-01,114.0,39.5276974,-3700.6498,132316.741,1477.3764,-110189.48,4431038.7
19,Niobrara,2008-08-01,118.0,40.5513124,-3949.9937,133415.258,1503.72021,-111283.52,4484270.16
20,Niobrara,2008-09-01,118.0,41.2483104,-4159.0466,140856.233,1533.60785,-112344.77,4581634.8
21,Niobrara,2008-10-01,118.0,41.7491271,-4331.341,137735.838,1566.95217,-113348.25,4633399.09
22,Niobrara,2008-11-01,127.0,42.2767461,-4446.2323,138945.866,1607.61848,-114373.07,4679953.0
23,Niobrara,2008-12-01,112.0,43.1621595,-4548.4388,132727.87,1656.64344,-115370.22,4642654.83
24,Niobrara,2009-01-01,91.0,44.8083898,-4470.4881,135293.935,1718.22441,-116431.27,4763796.09
25,Niobrara,2009-02-01,69.0,47.4454529,-4447.2511,138066.678,1788.16223,-117566.12,4829731.21
26,Niobrara,2009-03-01,58.0,50.4801145,-4407.9002,134554.903,1855.18557,-118436.55,4754277.93
27,Niobrara,2009-04-01,52.0,54.6057687,-4351.6004,131314.066,1933.69862,-119527.22,4672748.8
28,Niobrara,2009-05-01,45.0,58.8299082,-4245.4979,132498.387,2012.90139,-121033.36,4733333.77
