,Region,Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig.1,Legacy production change.1,Total production.1
0,Permian,2007-01-01,248.0,58.9995305,-11200.221,842782.161,584.405436,-90487.221,4602747.32
1,Permian,2007-02-01,253.0,58.8926497,-11383.281,857277.107,572.640969,-93907.382,4707079.89
2,Permian,2007-03-01,242.0,58.7761471,-11548.165,851889.516,561.692674,-96887.39,4763664.45
3,Permian,2007-04-01,243.0,58.6326825,-11734.781,853185.299,549.272206,-100081.74,4810333.0
4,Permian,2007-05-01,243.0,58.5136998,-11923.737,843555.677,537.272034,-103099.4,4830023.54
5,Permian,2007-06-01,244.0,58.3933794,-12130.581,834046.899,525.332086,-106183.05,4777555.4
6,Permian,2007-07-01,244.0,58.2148462,-12341.805,842654.322,514.635174,-109170.55,4854716.22
7,Permian,2007-08-01,248.0,57.9225824,-12568.828,843724.096,504.186527,-112279.35,4864608.99
8,Permian,2007-09-01,247.0,57.4871965,-12801.396,845308.966,496.495055,-115437.35,4763098.0
9,Permian,2007-10-01,242.0,57.5317334,-13026.767,850877.612,486.128541,-118565.25,4746186.12
10,Permian,2007-11-01,240.0,57.9378747,-13252.454,857459.599,482.663079,-121848.51,4749116.2
11,Permian,2007-12-01,253.0,58.3082889,-13454.894,862303.516,481.985312,-124995.34,4719472.03
12,Permian,2008-01-01,249.0,59.0906054,-13635.15,862372.225,488.263584,-127962.63,4689771.16
13,Permian,2008-02-01,250.0,60.4574611,-13767.281,870697.275,494.035497,-129890.94,4857915.58
14,Permian,2008-03-01,257.0,62.0481968,-13823.284,871941.225,498.473731,-128902.97,4811611.19
15,Permian,2008-04-01,259.0,63.7321957,-13826.087,867323.766,497.874044,-127021.86,4811619.73
16,Permian,2008-05-01,261.0,64.8864771,-14167.192,864677.387,493.083433,-125169.13,4841312.22
17,Permian,2008-06-01,285.0,65.899371,-14681.794,857004.533,493.660021,-123650.4,4743918.76
18,Permian,2008-07-01,287.0,66.9010594,-15294.848,873954.806,471.493176,-122385.53,4831680.48
19,Permian,2008-08-01,285.0,68.2663295,-15945.95,875537.677,461.99287,-121354.29,4824277.58
20,Permian,2008-09-01,285.0,70.6221679,-16517.85,853345.133,456.808987,-120824.55,4255842.56
21,Permian,2008-10-01,276.0,73.6031345,-16946.65,890914.322,455.37379,-120319.67,4754390.45
22,Permian,2008-11-01,253.0,77.033573,-17201.031,904142.533,449.979003,-118939.0,4799174.03
23,Permian,2008-12-01,234.0,80.9542632,-17291.557,902484.129,448.554659,-116337.18,4856553.67
24,Permian,2009-01-01,194.0,85.842351,-17259.291,902236.451,454.201458,-112191.43,4856953.38
25,Permian,2009-02-01,162.0,91.2702137,-17121.441,904665.5,464.217969,-107353.2,4807021.71
26,Permian,2009-03-01,129.0,96.5452429,-16980.536,900338.516,475.518059,-103059.07,4722932.35
27,Permian,2009-04-01,93.0,103.226108,-16857.383,885912.399,482.088395,-98652.357,4644702.63
28,Permian,2009-05-01,92.0,110.270844,-16847.083,876697.87,482.721477,-94942.567,4707331.19
