State Inflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
State To,State From,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1990
Alabama,Georgia,"1,700",975,525,525,,,,,,,,,,,,,,,,,,,,,,
,Gulf of Mexico,"2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,125","2,125","2,125","2,125","1,956","1,606","1,295","1,000",600,
,Mississippi,"19,867","19,798","19,798","19,798","19,753","19,242","19,242","19,117","18,992","18,992","17,459","13,912","13,912","13,912","13,912","13,745","12,867","12,199","12,119","12,119","12,119","12,119","11,974","11,919","11,440",30
,Tennessee,"3,604","3,604","2,801","2,456","2,081",981,981,981,981,981,531,531,531,531,531,531,531,531,531,531,531,510,510,510,510,
Alabama Total,,"27,558","26,764","25,511","25,166","24,221","22,610","22,610","22,485","22,360","22,360","20,377","16,830","16,830","16,830","16,830","16,663","15,523","14,855","14,775","14,775","14,606","14,235","13,779","13,429","12,550",30
Arizona,California,695,695,695,695,695,695,695,695,695,614,614,614,0,0,0,0,0,0,0,0,0,0,0,0,0,
,New Mexico,"5,992","5,810","5,810","5,810","5,810","5,810","5,810","5,810","5,998","5,998","5,998","5,998","5,998","5,998","5,998","5,678","5,678","5,361","5,361","5,225","5,225","5,225","5,225","5,225","5,225",
Arizona Total,,"6,687","6,505","6,505","6,505","6,505","6,505","6,505","6,505","6,693","6,612","6,612","6,612","5,998","5,998","5,998","5,678","5,678","5,361","5,361","5,225","5,225","5,225","5,225","5,225","5,225",
Arkansas,Louisiana,"7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,484","7,731","7,731","7,731","7,716","7,716","7,716","1,338"
,Mississippi,"3,899","3,899","1,508",750,,,,,,,,,,,,,,,,,,,,,,
,Missouri,485,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
,Oklahoma,"2,159","2,159","2,159","2,159","2,159","2,159","2,159","2,159","2,159","2,159","2,027","2,027","2,027","2,002","2,002","2,002","2,002","2,002","2,002","2,002","1,842","1,842","1,842","1,842","1,842",
,Tennessee,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
,Texas,"2,184","2,184","2,184","2,184","2,184","2,184","2,184","2,184","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072","2,072",
Arkansas Total,,"16,655","16,195","13,804","13,046","12,296","12,296","12,296","12,296","12,184","12,184","12,052","12,052","12,052","12,027","12,027","12,027","12,027","12,027","11,608","11,855","11,695","11,695","11,680","11,680","11,680","1,338"
