Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
,Algonquin Gas Trans Co,M1,New Jersey,New York,"1,625","1,532","1,492","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150"
,Algonquin Gas Trans Co,M2,New York,Connecticut,"1,830","1,737","1,697","1,355","1,355","1,355","1,355","1,355","1,355","1,355","1,355","1,030"
,Algonquin Gas Trans Co,M3,Connecticut,Rhode Island,"1,235","1,142","1,102",760,760,760,760,760,760,760,760,760
,Algonquin Gas Trans Co,M4,Rhode Island,Massachusetts,"1,180","1,087","1,047",705,705,705,705,705,705,705,705,705
,Algonquin Gas Trans Co,M4 Back,Massachusetts,Rhode Island,275,275,275,275,275,275,275,275,275,0,0,0
,Algonquin Gas Trans Co,M3 Back,Rhode Island,Connecticut,275,275,275,275,275,275,275,275,275,0,0,0
,Algonquin Gas Trans Co,M2 Back,Connecticut,New York,275,275,275,275,275,275,275,275,275,0,0,0
,Algonquin Gas Trans Co,M1 Back,New York,New Jersey,275,275,275,275,275,275,275,275,275,0,0,0
,Algonquin Gas Trans Co,Main Line,Max Capacity,,"1,830","1,737","1,697","1,355","1,355","1,355","1,355","1,355","1,355","1,355","1,355","1,150"
,,,,,,,,,,,,,,,,
,Alliance Pipeline Co,M1,Saskatchewan,North Dakota,"1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875"
,Alliance Pipeline Co,M2,North Dakota,Minnesota,"1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875"
,Alliance Pipeline Co,M3,Minnesota,Iowa,"1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875"
,Alliance Pipeline Co,M4,Iowa,Illinois,"1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875"
,Alliance Pipeline Co,Main Line,Max Capacity,,"1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875"
,,,,,,,,,,,,,,,,
,ANR Pipeline Co,GC1,Gulf of Mexico,Louisiana,0,0,0,0,0,0,0,"1,919","1,919","1,919","1,919","1,919"
,ANR Pipeline Co,GC2,Louisiana,Arkansas,"1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430"
,ANR Pipeline Co,GC3,Arkansas,Mississippi,"1,430","1,430","1,430",,"1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430"
,ANR Pipeline Co,GC4,Mississippi,Tennessee,"1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753"
,ANR Pipeline Co,GC5,Tennessee,Kentucky,"1,398","1,398","1,398","1,398","1,398","1,398","1,398","1,398","1,398","1,398","1,398","1,398"
,ANR Pipeline Co,GC6,Kentucky,Indiana,"1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386"
,ANR Pipeline Co,GC7,Indiana,Ohio,"1,748","1,748","1,748","1,748","1,748","1,748","1,748","1,748","1,748","1,748","1,748","1,748"
,ANR Pipeline Co,CG8,Ohio,Michigan,932,932,932,932,932,932,932,932,932,932,932,932
,ANR Pipeline Co,CG8 Back,Michigan,Ohio,100,100,100,100,100,100,100,100,100,100,100,100
,ANR Pipeline Co,GC7 Back,Ohio,Indiana,452,452,452,452,318,318,318,318,318,318,318,318
,ANR Pipeline Co,GC6 Back,Indiana,Kentucky,750,750,750,750,0,0,0,0,0,0,0,0
