Region Outflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
Region From,Region To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1990
Canada,Midwest,"6,098","6,098","6,098","6,098","6,098","6,098","6,098","6,098","6,098","6,098","5,993","5,993","5,748","5,748","5,748","5,748","5,748","5,468","5,468","4,748","4,720","4,594","4,531","4,512","4,262",
,Northeast,"4,535","4,484","4,426","4,426","4,426","4,426","4,426","4,426","4,426","4,426","4,008","3,773","3,773","3,773","3,773","3,544","3,544","3,329","3,151","3,136","2,580","2,545","2,418","2,418","2,293",
,Mountain,"7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,117","7,117","7,073","6,514","6,514","4,882","4,854","4,080","4,059","4,059","4,059",0
,Pacific,"1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,676","1,676","1,676","1,676","1,676","1,676","1,676","1,595","1,561","1,480",
Canada Total,,"19,657","19,606","19,548","19,548","19,548","19,548","19,548","19,548","19,548","19,548","19,025","18,790","18,545","18,545","18,470","18,085","18,041","16,987","16,809","14,442","13,830","12,895","12,603","12,550","12,094",0
Gulf of Mexico,South Central,"22,671","22,671","22,671","22,671","23,151","23,151","23,151","23,151","23,151","23,151","24,361","24,361","24,361","24,361","24,211","24,202","23,940","23,940","23,902","23,902","23,733","21,483","19,972","18,877","18,477","1,919"
Gulf of Mexico Total,,"22,671","22,671","22,671","22,671","23,151","23,151","23,151","23,151","23,151","23,151","24,361","24,361","24,361","24,361","24,211","24,202","23,940","23,940","23,902","23,902","23,733","21,483","19,972","18,877","18,477","1,919"
Mexico,South Central,925,925,925,925,925,925,925,925,925,925,925,865,865,865,865,865,865,865,865,350,350,350,350,350,350,
,Pacific,614,614,614,614,614,614,614,614,614,614,614,614,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mexico Total,,"1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,479",865,865,865,865,865,865,865,350,350,350,350,350,350,
Midwest,Canada,"4,935","4,935","4,935","4,935","4,935","4,935","4,935","4,935","4,222","4,222","3,907","3,907","3,662","3,662","3,662","3,662","3,662","3,382","3,382","1,180","1,180","1,180","1,180","1,030",530,0
,Northeast,"14,322","14,322","14,322","14,322","14,322","14,322","14,322","14,322","14,322","14,322","12,522","12,522","12,522","12,502","12,502","12,502","12,502","12,502","12,502","12,502","12,195","11,890","11,866","11,855","11,605","1,848"
,Southeast,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,62,62,62,62,62,62,62,62,
,Mountain,228,195,195,195,195,195,195,195,195,195,157,157,141,141,141,141,141,141,141,141,141,141,141,141,141,
,South Central,"10,173","10,173","5,672","4,164","2,671","1,571","1,031","1,031","1,031","1,031",581,581,581,581,581,581,581,581,581,581,581,560,560,560,560,
Midwest Total,,"29,880","29,847","25,346","23,838","22,345","21,245","20,705","20,705","19,992","19,992","17,389","17,389","17,128","17,108","17,108","17,108","17,108","16,668","16,668","14,466","14,159","13,833","13,809","13,648","12,898","1,848"
