State Outflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1990
Alabama,Florida,"4,710","4,650","4,650","4,650","4,650","4,650","4,650","4,650","3,699","3,699","3,699","3,544","3,544","3,544","3,544","3,544","3,293","1,865","1,665","1,665","1,665","1,640","1,640","1,640","1,105",
,Georgia,"8,348","8,348","7,518","7,518","7,518","7,518","7,518","7,298","7,079","6,954","6,954","6,954","6,954","6,954","6,954","6,763","6,113","5,643","5,626","5,426","5,426","5,274","5,129","5,074","4,959",
,Mississippi,"3,470","3,470","2,970","2,625","2,250","1,150","1,150","1,150","1,150","1,150",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
,Tennessee,"4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,083","4,083","4,083","4,083","4,083","4,083","4,083","4,083","4,083","4,083",
Alabama Total,,"20,668","20,608","19,278","18,933","18,558","17,458","17,458","17,238","16,068","15,943","14,993","14,838","14,838","14,838","14,838","14,590","13,689","11,791","11,574","11,374","11,374","11,197","11,052","10,997","10,347",
Alberta,Montana,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,100,100,100,100,100,100,100,100,100,
Alberta Total,,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,100,100,100,100,100,100,100,100,100,
Arizona,California,"6,439","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","5,755","5,755","5,755","4,825","4,825","4,825","4,825","4,825","4,825","4,825","4,825",
,Mexico,713,713,713,690,690,489,489,251,251,251,251,251,251,251,251,251,251,242,112,112,34,34,34,34,34,
