Flow Out Of a State By From State and Pipeline,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1990
Alabama,"20,668","20,608","19,278","18,933","18,558","17,458","17,458","17,238","16,068","15,943","14,993","14,838","14,838","14,838","14,838","14,590","13,689","11,791","11,574","11,374","11,374","11,197","11,052","10,997","10,347",
Florida,"4,710","4,650","4,650","4,650","4,650","4,650","4,650","4,650","3,699","3,699","3,699","3,544","3,544","3,544","3,544","3,544","3,293","1,865","1,665","1,665","1,665","1,640","1,640","1,640","1,105",
Florida Gas Trans Co,"3,235","3,175","3,175","3,175","3,175","3,175","3,175","3,175","2,224","2,224","2,224","2,224","2,224","2,224","2,224","2,224","1,973","1,675","1,475","1,475","1,475","1,475","1,475","1,475",940,
Gulf South Pipeline Co,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,165,165,165,165,
Gulfstream Natural Gas System (via the Gulf of Mexico),"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,130","1,130","1,130","1,130","1,130","1,130",0,0,0,0,0,0,0,0,
Georgia,"8,348","8,348","7,518","7,518","7,518","7,518","7,518","7,298","7,079","6,954","6,954","6,954","6,954","6,954","6,954","6,763","6,113","5,643","5,626","5,426","5,426","5,274","5,129","5,074","4,959",
Sabal Trail,830,830,,,,,,,,,,,,,,,,,,,,,,,,
Southern Natural Gas Co,"2,760","2,760","2,760","2,760","2,760","2,760","2,760","2,635","2,635","2,510","2,510","2,510","2,510","2,510","2,510","2,372","1,984","1,744","1,727","1,727","1,727","1,662","1,662","1,662","1,662",
Transcontinental Gas P L Co,"4,758","4,758","4,758","4,758","4,758","4,758","4,758","4,663","4,444","4,444","4,444","4,444","4,444","4,444","4,444","4,391","4,129","3,899","3,899","3,699","3,699","3,612","3,467","3,412","3,297",
