,Select Yea r==>,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region From,Region To,Capacity (MMcf/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year,,"Interregional Natural Gas Pipeline Capacity, Close of 2018",,,,,,,,,
Canada,Midwest,"6,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,Million cubic feet per day,,,,,,,,,
Canada,Mountain,"7,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,
Canada,Northeast,"4,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,
Canada,Pacific,"1,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,
Gulf of Mexico,South Central,"22,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,
Mexico,Pacific,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
Mexico,South Central,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,
Midwest,Canada,"4,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,
Midwest,Mountain,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,
Midwest,Northeast,"14,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,
Midwest,South Central,"10,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,,,,,,,,,,
Midwest,Southeast,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,,
Mountain,Canada,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,,,,,,
Mountain,Mexico,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,,,,,,,,,,,
Mountain,Midwest,"8,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,
Mountain,Pacific,"13,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,,,,,,,
Mountain,South Central,"6,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,,,,,,,,,,,
Northeast,Canada,"2,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,,,,,,,,,,,
Northeast,Midwest,"17,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,,,,,,,,,,,
Northeast,Southeast,"3,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,,
Pacific,Canada,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific,Mexico,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific,Mountain,"1,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Central,Mexico,"9,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Central,Midwest,"21,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Central,Mountain,"9,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Central,Southeast,"13,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast,Midwest,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast,Northeast,"3,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast,South Central,"1,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
